feature,value,0,1,2,3,4
mlp_2_1_outputs,6,0.23455217,-0.17562574,0.27554545,-0.6270908,-0.27707043
mlp_2_1_outputs,7,-0.057072215,-0.6452389,0.08642941,-0.20481184,-0.06465883
num_attn_0_0_outputs,_,0.43454358,0.029552985,0.44549805,-1.2544266,-1.0154847
num_attn_0_1_outputs,_,1.8282895,-0.22103597,-1.2720116,-1.1032503,1.744831
num_attn_0_2_outputs,_,0.33421066,-1.0180707,-0.7459294,0.2798556,-0.24040225
num_attn_0_3_outputs,_,0.08305623,1.4812324,-1.7799096,0.9595572,0.05093543
num_attn_1_0_outputs,_,0.40689602,0.13607305,0.6652425,0.8734469,-1.7748263
num_attn_1_1_outputs,_,1.3018126,-0.2770042,-0.06734781,0.41296342,0.5774127
num_attn_1_2_outputs,_,0.27919382,0.057721946,-0.46160927,0.5976681,-0.16438688
num_attn_1_3_outputs,_,0.019471211,-0.4751011,0.44703582,-0.55942327,0.2959601
num_attn_2_0_outputs,_,-4.6808414,-4.952747,1.9004632,0.12056701,4.9246755
num_attn_2_1_outputs,_,-4.9377236,0.91222256,-4.2132063,4.8424644,0.47237366
num_attn_2_2_outputs,_,-2.0448344,3.7945397,3.9674087,-5.0918756,-5.3513236
num_attn_2_3_outputs,_,-0.998406,-0.53003293,0.48627326,0.39446416,1.1860491
num_mlp_0_0_outputs,0,0.41487297,0.004915477,0.5092201,0.39681277,0.4514901
num_mlp_0_0_outputs,1,0.32268304,0.13541803,0.1412646,0.19302118,0.33967546
num_mlp_0_0_outputs,2,-0.15181473,0.061771,0.13970594,0.061336406,-0.46381593
num_mlp_0_0_outputs,3,0.79691327,-0.12943792,0.49217668,0.24565879,-0.038498465
num_mlp_0_0_outputs,4,0.15327588,-0.11108858,-0.26553026,-0.16326477,0.25968665
num_mlp_0_0_outputs,5,1.207002,0.041372135,-0.34440586,0.5543149,-0.2975428
num_mlp_0_0_outputs,6,-0.24597117,-0.019646965,0.08027114,-0.2763276,0.6291606
num_mlp_0_0_outputs,7,0.3223316,0.28597504,0.29285157,0.37349123,-0.11009583
num_mlp_0_1_outputs,0,0.20916317,-0.18204108,0.16803299,0.0066646277,-0.66488284
num_mlp_0_1_outputs,1,-0.41311964,-0.07935468,-0.37285382,-0.045571297,0.6000303
num_mlp_0_1_outputs,2,0.16916452,-0.022057772,-0.57897145,0.0011109288,0.3759954
num_mlp_0_1_outputs,3,0.032793965,-0.13321581,-0.00745651,0.2145112,0.5366413
num_mlp_0_1_outputs,4,-0.34431386,-0.082961865,0.41384166,0.06472587,0.39750633
num_mlp_0_1_outputs,5,0.019194363,0.37724116,-0.45276883,-0.31540537,0.19954373
num_mlp_0_1_outputs,6,-0.14584576,-0.43624324,-0.42599902,-0.34480742,0.79068595
num_mlp_0_1_outputs,7,0.1858822,0.5145712,-0.52090186,-0.31232896,0.582072
num_mlp_1_0_outputs,0,-0.92690754,1.1034564,0.037183072,-0.66789776,0.22773173
num_mlp_1_0_outputs,1,-0.60267997,1.1038331,0.46182418,-0.6653094,0.9436624
num_mlp_1_0_outputs,2,1.8461869,-1.9531277,0.49517813,1.3225907,-2.0713873
num_mlp_1_0_outputs,3,-0.59081393,0.8302583,-0.49714562,-1.030371,0.33965445
num_mlp_1_0_outputs,4,-0.8966584,0.7716066,0.14327972,-1.019621,1.2421684
num_mlp_1_0_outputs,5,-0.6729562,1.2669802,0.24754636,-0.70666194,0.82677066
num_mlp_1_0_outputs,6,-0.20113659,0.54343176,-0.33061448,-0.49629608,0.6275948
num_mlp_1_0_outputs,7,-0.23783402,1.3833041,-0.12015501,-0.61408687,0.115150414
num_mlp_1_1_outputs,0,-4.52261,2.0427217,1.599991,0.437572,0.9425703
num_mlp_1_1_outputs,1,-1.951,0.88248956,0.6762412,0.23718542,-0.036734067
num_mlp_1_1_outputs,2,10.998843,-1.6358702,-2.095145,-1.7184246,-1.8239781
num_mlp_1_1_outputs,3,-0.6371095,0.7694322,0.4434872,0.51290035,0.3890985
num_mlp_1_1_outputs,4,-3.1859748,2.2360983,1.4919003,0.70376885,0.9711808
num_mlp_1_1_outputs,5,-1.6441821,0.49833223,0.35823864,0.2663746,0.13355362
num_mlp_1_1_outputs,6,-1.9017302,0.6990692,0.70286906,-0.15402502,-0.051646914
num_mlp_1_1_outputs,7,-0.6388175,0.23546964,0.16432981,0.3700907,0.51741284
num_mlp_2_0_outputs,0,-0.50151557,-0.5525836,0.7936384,1.0532453,-0.1361348
num_mlp_2_0_outputs,1,-0.69330937,-1.2164897,0.53337,0.59126985,-0.19493648
num_mlp_2_0_outputs,2,-0.7688743,-1.5967689,0.25989538,0.10247614,-0.23871015
num_mlp_2_0_outputs,3,-0.21218957,-0.57282364,0.15222403,0.14940399,0.008501283
num_mlp_2_0_outputs,4,-0.36786634,-0.44014227,0.74858063,1.2686852,-0.48957467
num_mlp_2_0_outputs,5,-0.26014465,-0.34602526,0.86350936,0.3260063,0.14518641
num_mlp_2_0_outputs,6,2.4468963,1.7318541,-1.313349,-1.3016798,-1.0140067
num_mlp_2_0_outputs,7,-0.8695117,-0.8683181,0.38864142,0.383185,0.019721042
num_mlp_2_1_outputs,0,0.41139027,-0.08111328,-0.5247728,-0.03960079,-0.059051085
num_mlp_2_1_outputs,1,0.48814958,0.25901556,-0.19950444,0.65101504,0.24620262
num_mlp_2_1_outputs,2,0.06266956,0.43205336,-0.08359023,-0.11794274,0.12168384
num_mlp_2_1_outputs,3,0.7282137,0.39132804,-0.14801021,-0.024605228,0.06345587
num_mlp_2_1_outputs,4,0.07383834,-0.5595298,0.44673878,-0.70450294,-0.3133184
num_mlp_2_1_outputs,5,-0.5836791,-0.58678865,0.5512612,-0.13599665,-0.06887413
num_mlp_2_1_outputs,6,1.1189368,0.15029052,-0.4548338,-0.20320092,0.3964121
num_mlp_2_1_outputs,7,-0.1051742,0.009841476,0.21478051,0.55650765,0.05330836
ones,_,0.49959126,0.18732817,0.37971485,0.5093511,-0.47655168
positions,0,-0.18827528,-0.050663356,-0.080628514,0.57013655,-0.17630357
positions,1,2.592766,-1.5558246,-1.6038197,-0.13095406,1.0100188
positions,2,-1.4817045,0.6277015,-0.34424984,-0.09861205,0.9902575
positions,3,0.69292253,-0.40875,0.27392012,0.26477033,-0.37441432
positions,4,0.3118255,0.37792495,-0.12775709,0.2906315,-1.0649812
positions,5,-3.304374,0.7263448,0.49327615,2.3499784,-0.05939901
positions,6,-0.5355814,0.79466844,1.50123,0.22127673,-1.3868188
positions,7,0.21708699,0.20202476,-0.6149757,-0.33105364,-0.080922596
tokens,0,0.0034526458,0.57003725,0.4117406,0.4409464,-0.95530283
tokens,1,0.4665446,0.28109866,0.03385573,-0.18118648,-0.1282835
tokens,2,0.14886081,0.4737954,-0.61749154,-0.08883432,0.45220768
tokens,3,0.38353387,0.261701,0.1288909,-0.86503637,0.89743704
tokens,4,-0.48421052,0.976044,0.18642935,-0.1887729,0.09640023
tokens,</s>,0.28316557,-0.6952284,0.008921764,0.11146826,0.33902484
tokens,<pad>,-0.41190413,0.50556195,0.42461234,0.04693978,-0.32682943
tokens,<s>,0.06322212,-0.057571776,0.13348044,0.49008542,-0.19956245
