feature,value,0,1,2,3,4
num_attn_0_1_outputs,_,5.74254,-2.2107701,-2.4993634,-4.144703,3.0232384
num_attn_0_2_outputs,_,0.42597324,-4.963262,-3.1702223,6.0744367,-3.026992
num_attn_0_3_outputs,_,7.615723,3.7025652,-0.16072087,-3.610023,-8.042077
num_attn_1_0_outputs,_,1.7283316,1.0556494,0.3675147,-0.44350666,-1.9962599
num_attn_1_1_outputs,_,1.2940354,1.4681664,0.013231342,-1.606401,-0.6256731
num_attn_1_2_outputs,_,3.4932182,1.7020574,0.13502035,-1.9654438,-4.4232855
num_attn_1_3_outputs,_,0.6673402,0.9392647,0.13497631,-0.10902176,-0.6072485
num_attn_2_0_outputs,_,2.3120852,2.6149993,1.1804987,-0.7577482,-3.0993333
num_attn_2_1_outputs,_,0.73078597,0.65859354,0.48992777,0.2779543,0.22838442
num_attn_2_2_outputs,_,0.44617093,0.4422829,8.86747,-1.9331263,-9.31494
num_attn_2_3_outputs,_,0.24788354,0.742634,0.9875998,1.1683526,-2.5013378
num_mlp_0_0_outputs,0,-0.30889085,-1.0777105,0.3157617,0.9366952,1.0135049
num_mlp_0_0_outputs,1,-1.7194607,-1.546612,0.84925807,1.2485472,1.287402
num_mlp_0_0_outputs,2,-0.6730967,-1.8394825,-0.34838432,0.51446635,1.190527
num_mlp_0_0_outputs,3,0.08849424,3.6257045,0.42488295,-1.1528338,-1.6777732
num_mlp_0_0_outputs,4,-0.98144394,-0.49344546,0.3170022,0.5119286,0.40862763
num_mlp_0_0_outputs,5,-0.09067804,-0.96605563,0.25508773,0.6787861,0.8017947
num_mlp_0_0_outputs,6,-0.37703475,-8.402096,-1.3294848,1.1081016,4.1817193
num_mlp_0_0_outputs,7,-0.6119642,-0.5870437,0.42109668,0.6312545,0.7754309
num_mlp_0_1_outputs,0,-2.887727,-0.37782815,0.08133825,1.0099506,1.2872956
num_mlp_0_1_outputs,1,5.343681,-0.8750456,-2.4789016,-3.163564,0.09849785
num_mlp_0_1_outputs,2,-2.4577844,-0.45237613,0.26527488,1.0023768,1.2674657
num_mlp_0_1_outputs,3,-2.6782975,-0.05612684,0.41101798,1.0327499,1.6682391
num_mlp_0_1_outputs,4,-2.1314316,0.109861635,0.35269317,0.8784932,1.2856216
num_mlp_0_1_outputs,5,-2.8220568,-0.48218408,0.17396383,0.8937942,1.3400384
num_mlp_0_1_outputs,6,-1.5916439,-0.3214465,-0.11170707,0.52768314,0.75224155
num_mlp_0_1_outputs,7,-2.776075,-0.12408922,0.32133526,0.9144844,1.5480548
num_mlp_1_0_outputs,0,-0.280609,-0.2413498,-0.029443111,-0.022841891,-0.27621514
num_mlp_1_0_outputs,1,-3.2483206,-1.7669624,-0.42505944,1.06081,3.1348014
num_mlp_1_0_outputs,2,-0.4609083,-0.30487666,0.070167735,0.19658387,0.10514295
num_mlp_1_0_outputs,3,-1.009828,-0.6494158,0.3076606,0.0051119053,-0.020854231
num_mlp_1_0_outputs,4,0.9201114,0.61974627,0.3921463,-0.7065901,-2.1555252
num_mlp_1_0_outputs,5,0.15617436,0.0011018753,0.3625762,-0.080384314,-0.20720004
num_mlp_1_0_outputs,6,-0.28195158,-0.116695024,0.19206111,0.039425973,-0.083452806
num_mlp_1_0_outputs,7,-2.3384705,-0.8355366,0.043780245,0.7214964,2.6805232
num_mlp_1_1_outputs,0,-0.3884641,0.21599807,0.07861984,0.12563518,0.038164053
num_mlp_1_1_outputs,1,-2.905452,1.7694507,0.9599469,0.007509211,-0.5455339
num_mlp_1_1_outputs,2,-0.35370627,-0.36458534,-0.0055607264,0.5211612,1.3721998
num_mlp_1_1_outputs,3,1.1484663,-0.9894205,-0.10108835,-0.25009057,1.1732255
num_mlp_1_1_outputs,4,-1.3107914,-2.04092,-0.31887156,1.2903738,1.8898005
num_mlp_1_1_outputs,5,-0.49286237,-0.7999125,-0.3280568,0.07907878,0.479189
num_mlp_1_1_outputs,6,-0.8222653,-0.952297,-0.5655797,0.12663428,0.98015505
num_mlp_1_1_outputs,7,-0.10552676,-0.061506815,-0.15576035,0.2696922,0.46468192
num_mlp_2_0_outputs,0,-1.7018291,-0.5832484,1.463453,0.34396377,0.84722257
num_mlp_2_0_outputs,1,-0.7531033,-0.06407194,-0.84663594,0.5627118,0.80920786
num_mlp_2_0_outputs,2,-0.87703073,-0.4950982,0.38310644,-0.40814775,-0.30649278
num_mlp_2_0_outputs,3,-0.36832574,-0.24992536,-0.14268312,0.34888765,-0.23312171
num_mlp_2_0_outputs,4,0.5258173,1.0527291,1.7056302,-0.44170222,-2.632298
num_mlp_2_0_outputs,5,-1.6584709,-1.3813858,-3.422421,1.9044834,3.8450375
num_mlp_2_0_outputs,6,-0.13470034,0.5023027,1.1867948,-0.3822346,-0.56941277
num_mlp_2_0_outputs,7,-2.016369,-0.76171845,-1.3924577,1.1660838,1.7492106
num_mlp_2_1_outputs,0,-1.8764839,1.0791429,0.27446243,0.5142327,0.60316217
num_mlp_2_1_outputs,1,0.5131709,-1.668792,0.068465754,0.5023281,2.7903829
num_mlp_2_1_outputs,2,-0.23972817,0.32281196,0.34818444,-0.3357718,0.41408715
num_mlp_2_1_outputs,3,0.30160472,0.018344503,0.14958812,0.20483752,0.15389802
num_mlp_2_1_outputs,4,-0.6166014,-0.5244022,-0.10022571,-0.29539087,0.12256621
num_mlp_2_1_outputs,5,0.086814806,-0.21240059,-0.036193565,-0.27119988,-0.35248363
